-25.418339_-49.240658_324.2600_45.00
-25.595189_-48.897510_043.9000_89.00
-25.595157_-48.897475_043.5900_89.84
-25.595125_-48.897441_043.3100_89.38
-25.595091_-48.897408_043.0100_89.51
-25.595058_-48.897374_042.7100_89.51
-25.595025_-48.897341_042.3900_89.27
-25.594991_-48.897307_042.0500_89.30
-25.594957_-48.897275_041.7000_89.36
-25.594922_-48.897244_041.3200_88.93
-25.594887_-48.897215_040.8400_88.16
-25.594853_-48.897184_040.3300_88.16
-25.594818_-48.897153_039.8300_88.14
-25.594784_-48.897123_039.3300_87.82
-25.594749_-48.897092_038.8600_87.67
-25.594715_-48.897062_038.4100_87.32
-25.594681_-48.897033_038.0000_86.90
*************************************************




-25.594646,-48.897003,37.65,87.06,710.90,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594611,-48.896973,37.38,87.01,710.70,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594576,-48.896943,37.15,87.10,710.50,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594541,-48.896913,36.93,87.03,710.30,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594505,-48.896884,36.72,87.53,710.10,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594468,-48.896854,36.52,87.64,709.90,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594431,-48.896824,36.33,87.69,709.80,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594394,-48.896795,36.15,87.84,709.50,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594357,-48.896766,35.98,88.04,709.20,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594320,-48.896738,35.81,88.17,708.90,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594284,-48.896709,35.65,88.30,708.60,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594247,-48.896680,35.48,88.43,708.40,10,1.20,0.00,0.00,0.00,0.00,0.00,0.00
-25.594211,-48.896652,35.35,88.60,708.10,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.594174,-48.896623,35.38,89.17,707.70,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.594137,-48.896594,35.39,89.47,707.50,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.594100,-48.896566,35.30,89.67,707.40,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.594062,-48.896537,35.21,90.25,707.30,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.594025,-48.896508,35.12,90.43,707.00,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593987,-48.896479,35.05,90.75,706.70,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593950,-48.896451,35.01,90.95,706.50,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593913,-48.896422,34.99,90.49,706.60,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593875,-48.896393,34.98,90.69,706.30,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593837,-48.896365,34.96,90.90,706.20,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593800,-48.896336,34.97,90.77,706.10,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593762,-48.896307,34.99,90.67,706.00,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593724,-48.896278,35.08,90.84,705.80,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
-25.593686,-48.896249,35.19,90.71,705.70,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
#000,1611934373,-25.593649,-48.896221,35.27,90.71,705.40,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
#000,1611934373,-25.593575,-48.896165,35.23,90.32,705.20,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
#000,1611934373,-25.593538,-48.896136,35.25,90.23,704.90,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
#000,1611934373,-25.593501,-48.896108,35.26,89.86,704.80,11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
#002,1611934373,-25.593501,-48.896108,35.26,89.86,704.80
