-25.418261_-49.240707_329.0300_50.00


-19.963921327193013, -44.09621118081283
-19.963821499500998, -44.09609738433321
-19.96375732452276, -44.09597979463759
-19.963678888402807, -44.09582806599808
-19.963614713366542, -44.095714269518446
-19.963557668867953, -44.095558747662956
-19.96347566736508, -44.0953918461595
-19.963425753385952, -44.095228737872034
-19.963386535248407, -44.09501252456074
-19.96341149224615, -44.09486458913722
-19.963447145093223, -44.09475837908957
-19.963457840945782, -44.09461044366604
-19.96342931867069, -44.09445492181055
-19.96337940467689, -44.094356298194874
-19.963311664231462, -44.0942576745792
-19.963208270863916, -44.09418181025944
-19.963044267452265, -44.09412491201963
-19.96284080479733, -44.09411407367162
-19.96239317992431, -44.09421473434704
-19.962086978353945, -44.094256146398706
-19.96181710529065, -44.094225777560816
